0.818
5, 3, 0.998761
0, 0, 0.999968
4, 4, 0.996996
1, 1, 0.999935
9, 9, 0.997054
2, 8, 0.997209
1, 1, 0.999947
3, 3, 0.999826
1, 1, 0.999939
4, 4, 0.999860
3, 3, 0.999872
5, 8, 0.983748
3, 3, 0.999894
6, 6, 0.999541
1, 1, 0.999922
7, 7, 0.999897
2, 2, 0.997956
8, 8, 0.999944
6, 6, 0.996157
9, 9, 0.993915
4, 4, 0.999848
0, 0, 0.999960
9, 4, 0.997096
1, 1, 0.999944
1, 8, 0.979943
2, 2, 0.997735
4, 4, 0.998974
3, 3, 0.999896
2, 7, 0.998234
7, 7, 0.992316
3, 3, 0.999287
8, 8, 0.999797
6, 6, 0.999831
9, 7, 0.999683
0, 0, 0.999850
5, 5, 0.969162
6, 6, 0.999774
0, 0, 0.999969
7, 7, 0.999031
6, 6, 0.999571
1, 1, 0.999946
8, 8, 0.999937
7, 7, 0.999953
9, 9, 0.997415
3, 3, 0.999744
9, 9, 0.998818
8, 8, 0.999904
5, 5, 0.992571
9, 8, 0.999001
3, 3, 0.999881
3, 3, 0.999731
0, 0, 0.999960
7, 7, 0.999947
4, 4, 0.998977
9, 9, 0.997915
8, 8, 0.999876
0, 0, 0.999957
9, 9, 0.997900
4, 4, 0.999794
1, 1, 0.999933
4, 4, 0.998559
4, 4, 0.999665
6, 6, 0.997530
0, 0, 0.999921
4, 6, 0.989328
5, 8, 0.986883
6, 6, 0.999828
1, 1, 0.999949
0, 0, 0.999908
0, 0, 0.999719
1, 2, 0.997319
7, 7, 0.999929
1, 1, 0.999940
6, 6, 0.999692
3, 3, 0.999845
0, 0, 0.999920
2, 8, 0.997939
1, 1, 0.999931
1, 1, 0.999928
7, 7, 0.999950
9, 8, 0.997033
0, 0, 0.999963
2, 2, 0.999450
6, 6, 0.999557
7, 7, 0.999954
8, 8, 0.999896
3, 3, 0.999292
9, 9, 0.998736
0, 0, 0.999945
4, 4, 0.999874
6, 6, 0.999842
7, 7, 0.999917
4, 4, 0.999674
6, 6, 0.997822
8, 8, 0.999951
0, 0, 0.999966
7, 7, 0.999962
8, 8, 0.999954
3, 3, 0.999821
1, 1, 0.999920
5, 8, 0.998998
7, 7, 0.999912
1, 1, 0.999924
7, 7, 0.999943
1, 1, 0.999888
1, 1, 0.999889
6, 6, 0.999793
3, 3, 0.999799
0, 0, 0.999940
2, 6, 0.998875
9, 9, 0.998541
3, 8, 0.999033
1, 1, 0.999949
1, 1, 0.999937
0, 0, 0.999969
4, 4, 0.999875
9, 9, 0.998178
2, 3, 0.995773
0, 0, 0.999931
0, 0, 0.999969
2, 3, 0.998631
0, 0, 0.999972
2, 2, 0.999584
7, 7, 0.999945
1, 1, 0.999935
8, 8, 0.999937
6, 6, 0.999807
4, 4, 0.998298
1, 1, 0.999943
6, 6, 0.998657
3, 3, 0.999884
4, 4, 0.999735
5, 3, 0.998528
9, 9, 0.998091
1, 8, 0.998846
3, 3, 0.999838
3, 3, 0.999676
8, 8, 0.999437
5, 8, 0.986136
4, 4, 0.999890
7, 7, 0.999874
7, 7, 0.999936
4, 4, 0.999473
2, 8, 0.998979
8, 8, 0.999932
5, 5, 0.991982
8, 8, 0.999705
6, 6, 0.999443
7, 4, 0.979188
3, 3, 0.999878
4, 4, 0.999697
6, 6, 0.999845
1, 1, 0.999907
9, 4, 0.994486
9, 7, 0.998761
6, 6, 0.999838
0, 0, 0.999965
3, 3, 0.999813
7, 7, 0.998931
2, 8, 0.998119
8, 8, 0.995277
2, 3, 0.996976
9, 9, 0.997963
4, 4, 0.999856
4, 4, 0.999854
6, 6, 0.999828
4, 4, 0.999877
9, 9, 0.998122
7, 7, 0.998311
0, 0, 0.999963
9, 9, 0.998755
2, 2, 0.999170
9, 7, 0.998252
5, 8, 0.997898
1, 1, 0.999945
5, 5, 0.990217
9, 9, 0.997567
1, 1, 0.999943
2, 0, 0.991906
3, 3, 0.999744
2, 1, 0.997310
3, 8, 0.998159
5, 3, 0.994967
9, 9, 0.998422
1, 1, 0.999934
7, 7, 0.999916
6, 6, 0.999421
2, 2, 0.998915
8, 8, 0.999893
2, 2, 0.990936
2, 2, 0.999619
5, 0, 0.990383
0, 0, 0.999970
7, 7, 0.999914
4, 4, 0.999815
9, 9, 0.998581
7, 7, 0.999940
8, 8, 0.999920
3, 3, 0.999645
2, 8, 0.997867
1, 1, 0.999903
1, 1, 0.999937
8, 8, 0.999712
3, 3, 0.999293
6, 6, 0.999409
